"","assembly_accession","bioproject_accession","biosample_common_name","biosample_description","tax_id","organism_name","source_db","biosample_owner","biosample_host","biosample_location","biosample_isolation","biosample_ecotype","assembly_level","contig_l50","contig_n50","gaps_between_scaffolds","atgc_count","gc_percent","genome_coverage","component_sequences","contigs","organelles","scaffolds","scaffold_l50","scaffold_n50","chromosomes","sequence_length","ungapped_length","organelle_description","organelle_sequence_length","is_SO","rank1","rank2","rank3","rank4","rank5","rank6","rank7","len_ratio","keep"
"127","GCA_964339095.1","PRJEB65276",NA,"Hordeum vulgare","4513","Hordeum vulgare","GENBANK","EBI",NA,"missing: lab stock",NA,NA,"Chromosome",4491,277288,NA,4019849480,44.5,6,654,21313,NA,654,4,576643603,7,4021915380,4019849480,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Hordeum","Hordeum vulgare",0.999486339267536,FALSE
"128","GCA_964339105.1","PRJEB65276",NA,"Hordeum vulgare","4513","Hordeum vulgare","GENBANK","EBI",NA,"missing: lab stock",NA,NA,"Chromosome",2903,433624,NA,4136959365,44.5,7,814,15082,NA,814,4,593316358,7,4138386165,4136959365,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Hordeum","Hordeum vulgare",0.999655227921438,FALSE
"129","GCA_964339115.1","PRJEB65276",NA,"Hordeum vulgare","4513","Hordeum vulgare","GENBANK","EBI",NA,"missing: lab stock",NA,NA,"Chromosome",5557,228576,NA,4029564380,44.5,6,1306,26166,NA,1306,4,577821077,7,4032050380,4029564380,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Hordeum","Hordeum vulgare",0.999383440243621,FALSE
"130","GCA_902375235.1","PRJEB33872",NA,"Hordeum vulgare subsp. vulgare","112509","Hordeum vulgare subsp. vulgare","GENBANK","EBI",NA,NA,NA,NA,"Chromosome",55368,19389,NA,4446444569,44.5,822,988932,1028567,NA,36793,4,657224000,7,4830075821,4446842310,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Hordeum","Hordeum vulgare",0.920656833308125,FALSE
"131","GCA_903970725.1","PRJEB35962",NA,"Hordeum vulgare subsp. vulgare","112509","Hordeum vulgare subsp. vulgare","GENBANK","EBI",NA,NA,NA,NA,"Chromosome",33778,36357,NA,4377031671,44.5,200,322406,581419,NA,322406,4,665297378,7,4837636723,4377107790,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Hordeum","Hordeum vulgare",0.904802911138311,FALSE
"132","GCA_905310525.1","PRJEB43157",NA,"Hordeum vulgare subsp. vulgare","112509","Hordeum vulgare subsp. vulgare","GENBANK","EBI",NA,NA,NA,NA,"Chromosome",45287,24793,NA,3986223468,44.5,200,52651,484675,NA,52651,4,571018318,7,4064890003,3986355802,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Hordeum","Hordeum vulgare",0.980679870564261,FALSE
"133","GCA_052939155.1","PRJNA1168413",NA,"Malus domestica","3750","Malus domestica","GENBANK","ETH Zurich",NA,"Switzerland: Wadenswill",NA,NA,"Chromosome",103,1613230,NA,676473061,38,8.5,17,776,NA,17,8,38263905,17,676548961,676473061,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Malus","Malus domestica",0.999887812997469,FALSE
"134","GCA_052939175.1","PRJNA1168414",NA,"Malus domestica","3750","Malus domestica","GENBANK","ETH Zurich",NA,"Switzerland: Wadenswill",NA,NA,"Chromosome",82,1494488,NA,592340460,38,8.5,17,679,NA,17,8,33677994,17,592406660,592340460,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Malus","Malus domestica",0.999888252437945,FALSE
"135","GCA_000346465.2","PRJNA31227",NA,"Prunus persica","3760","Prunus persica","GENBANK","US DOE Joint Genome Institute",NA,NA,NA,NA,"Chromosome",250,255416,NA,224638898,37.5,8.47,2530,2530,NA,191,4,27368013,8,227411381,224638928,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus persica",0.9878086444583,FALSE
"136","GCA_000263155.2","PRJNA32913",NA,"Setaria italica","4555","Setaria italica","GENBANK","US DOE Joint Genome Institute",NA,NA,NA,NA,"Chromosome",982,126273,NA,400908904,46,6.96,6778,6778,NA,336,4,47252588,9,405732883,400908904,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Setaria","Setaria italica",0.988110455912936,FALSE
"137","GCA_000003195.3","PRJNA13876",NA,"Sorghum bicolor","4558","Sorghum bicolor","GENBANK","US DOE Joint Genome Institute",NA,NA,NA,NA,"Chromosome",78,1310030,NA,675363888,44,8,4773,4773,NA,867,5,68658214,10,708735318,675363888,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Sorghum","Sorghum bicolor",0.952914114546779,FALSE
"138","GCA_052327185.1","PRJNA1306320",NA,"Aquarius paludum","95691","Aquarius paludum","GENBANK","Institute of Entomology, College of Life Sciences, Nankai University",NA,"China: Tianjin","lake",NA,"Chromosome",35,5967280,NA,1011752201,30.5,1,28,405,NA,28,5,92888411,12,1011789901,1011752201,NA,NA,FALSE,"Eukaryota","Arthropoda","Insecta","Hemiptera","Gerridae","Aquarius","Aquarius paludum",0.999962739299965,FALSE
"139","GCA_050437405.1","PRJNA1083617",NA,"Bombus bimaculatus","309944","Bombus bimaculatus","GENBANK","United States Department of Agriculture",NA,"USA: AL, Tuscaloosa, University of Alabama Arboretum",NA,NA,"Chromosome",71,1308345,NA,334443207,37.5,6.99,1669,1868,NA,1669,11,12558891,19,334463107,334443207,NA,NA,FALSE,"Eukaryota","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus bimaculatus",0.999940501658977,FALSE
"140","GCA_018400075.1","PRJNA482650",NA,"Danio rerio","7955","Danio rerio","GENBANK","North Carolina State University",NA,NA,NA,NA,"Chromosome",270,1203134,NA,1336794241,36.5,5,25,19448,NA,25,11,54124915,25,1338639271,1336796155,NA,NA,FALSE,"Eukaryota","Chordata","Actinopteri","Cypriniformes","Danionidae","Danio","Danio rerio",0.99862314214148,FALSE
"141","GCA_052815195.1","PRJNA1304680",NA,"Elysia leucolegnote","1522334","Elysia leucolegnote","GENBANK","Hainan Normal University",NA,"China:Hainan","mangrove mud",NA,"Chromosome",123878,1154,NA,505993165,35,89,538,1032186,NA,538,4,62804774,15,776755396,505993307,NA,NA,FALSE,"Eukaryota","Mollusca","Gastropoda","","Plakobranchidae","Elysia","Elysia leucolegnote",0.651419107747016,FALSE
"142","GCA_000233375.4","PRJNA72713",NA,"Salmo salar","8030","Salmo salar","GENBANK","University of Victoria",NA,NA,NA,NA,"Chromosome",14749,36085,9418,3064104554,43,206,839389,965912,NA,839389,594,592762,29,3412113583,3064112202,NA,NA,FALSE,"Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar",0.898010024421863,FALSE
"143","GCA_028551405.1","PRJNA512907",NA,"Uromys caudimaculatus","36800","Uromys caudimaculatus","GENBANK","Baylor College of Medicine",NA,"not collected","not collected","not collected","Chromosome",14440,49660,NA,2598247434,41.5,122,559416,611178,NA,559416,11,99048585,23,2615851634,2598247434,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Rodentia","Muridae","Uromys","Uromys caudimaculatus",0.993270184068857,FALSE
"144","GCA_910574625.1","PRJEB45067",NA,"Avena byzantina","146531","Avena byzantina","GENBANK","EBI",NA,NA,NA,NA,"Chromosome",138506,21838,NA,11423866848,44,200,532780,1512271,NA,532780,11,527823683,21,12798804213,11424388231,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Avena","Avena byzantina",0.892613719287621,FALSE
"145","GCA_000004515.5","PRJNA19861",NA,"Glycine max","3847","Glycine max","GENBANK","Joint Genome Institute, U.S. Department of Energy",NA,NA,NA,NA,"Chromosome",650,419290,64,952478021,34.5,8.05,9197,9197,NA,345,18,20441467,20,978386919,952478023,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Glycine","Glycine max",0.973518762877082,FALSE
"146","GCA_014155035.1","PRJNA596862",NA,"Prunus avium","42229","Prunus avium","GENBANK","Shandong Institute of Pomology",NA,"China: Shandong",NA,NA,"Chromosome",32,3247195,NA,344285157,38.5,1,61,610,NA,61,4,42624765,8,344341978,344287078,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus avium",0.999840565474129,FALSE
"147","GCA_002197005.1","PRJNA324173",NA,"Cervus elaphus hippelaphus","46360","Cervus elaphus hippelaphus","GENBANK","National Agricultural Research and Innovation Centre",NA,NA,NA,NA,"Chromosome",64532,7944,NA,1960762966,41.5,74,11479,406637,NA,11479,13,107358006,35,3438623608,1960832178,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Artiodactyla","Cervidae","Cervus","Cervus elaphus",0.570237514055944,FALSE
"148","GCA_028646535.1","PRJNA512907",NA,"Procyon lotor","9654","Procyon lotor","GENBANK","Baylor College of Medicine",NA,NA,NA,"not collected","Chromosome",20058,34230,NA,2505092287,42,86,819431,877198,NA,819431,9,114539748,19,2525713215,2505092287,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Carnivora","Procyonidae","Procyon","Procyon lotor",0.991835601968769,FALSE
"149","GCA_910574605.1","PRJEB44810",NA,"Avena sativa","4498","Avena sativa","GENBANK","EBI",NA,NA,NA,NA,"Chromosome",132485,21001,NA,10240882062,44,200,529781,1826238,NA,529781,11,489887590,21,10958296824,10240882316,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Avena","Avena sativa",0.934532298264747,FALSE
"150","GCA_000164945.1","PRJDA39809",NA,"Oryza sativa Japonica Group","39947","Oryza sativa Japonica Group","GENBANK","Agrogenomics Research Center, National Institute of Agrobiological Sciences",NA,NA,NA,NA,"Chromosome",23951,3191,NA,306136013,43,15.7,654543,654543,NA,12,6,30828668,12,382150945,306177972,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Oryza","Oryza sativa",0.801196427762334,FALSE
"151","GCA_000978405.1","PRJNA261263",NA,"Capra aegagrus","9923","Capra aegagrus","GENBANK","BGI",NA,"Iran:Bamu National Park",NA,NA,"Chromosome",39764,19347,NA,2593727656,42,83.54,368693,368693,NA,89498,13,91317560,31,2828873048,2593727656,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Artiodactyla","Bovidae","Capra","Capra aegagrus",0.916876654409696,FALSE
"152","GCA_028533875.1","PRJNA512907",NA,"Mungos mungo","210652","Mungos mungo","GENBANK","Baylor College of Medicine",NA,"not collected","not collected","not collected","Chromosome",10683,60614,NA,2478946417,42,77,572361,614368,NA,572361,9,128516143,18,2494883117,2478946417,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Carnivora","Herpestidae","Mungos","Mungos mungo",0.99361224584374,FALSE
"153","GCA_000002265.1","PRJNA13999",NA,"Rattus norvegicus","10116","Rattus norvegicus","GENBANK","Celera",NA,NA,NA,NA,"Chromosome",22766,34564,230,2807682847,42,NA,503452,503452,NA,392288,35,25208765,21,2931643592,2807682847,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Rodentia","Muridae","Rattus","Rattus norvegicus",0.957716297663785,FALSE
"154","GCA_050662955.1","PRJNA1094976",NA,"Pinus radiata","3347","Pinus radiata","GENBANK","Scion research",NA,"New Zealand: Rotorua",NA,NA,"Chromosome",35286,175053,NA,22386080857,38,25,305167,337437,NA,305167,23514,221616,12,22408479511,22386133010,NA,NA,FALSE,"Eukaryota","Streptophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus radiata",0.999002765850801,FALSE
"155","GCA_028533885.1","PRJNA512907",NA,"Nasua narica","352831","Nasua narica","GENBANK","Baylor College of Medicine",NA,"not collected","not collected","not collected","Chromosome",10510,64559,NA,2596641939,42,105,1091317,1127599,NA,1091317,9,119764535,19,2610174539,2596641939,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Carnivora","Procyonidae","Nasua","Nasua narica",0.994815442493288,FALSE
"156","GCA_028533385.1","PRJNA512907",NA,"Panthera onca","9690","Panthera onca","GENBANK","Baylor College of Medicine",NA,"not collected","not collected","not collected","Chromosome",14196,51083,NA,2481702542,41.5,104,410583,466954,NA,410583,8,132627732,19,2498323642,2481702542,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Carnivora","Felidae","Panthera","Panthera onca",0.993347098942436,FALSE
"157","GCA_028534135.1","PRJNA512907",NA,"Potos flavus","29067","Potos flavus","GENBANK","Baylor College of Medicine",NA,"not collected","not collected","not collected","Chromosome",10176,65113,NA,2450427517,42,132,841001,878264,NA,841001,9,121721779,19,2465739417,2450427517,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Carnivora","Procyonidae","Potos","Potos flavus",0.993790138611391,FALSE
"158","GCA_000002195.1","PRJNA10625",NA,"Apis mellifera","7460","Apis mellifera","GENBANK","Baylor College of Medicine",NA,NA,NA,NA,"Chromosome",1390,45688,324,229105558,32.5,8,16501,16501,NA,5644,65,997192,16,250270657,229107307,NA,NA,FALSE,"Eukaryota","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis mellifera",0.915438149027595,FALSE
"159","GCA_004361675.1","PRJNA492932",NA,"Capra hircus","9925","Capra hircus","GENBANK","Chittagong Veterinary and Animal Sciences University",NA,NA,NA,"Bengal","Chromosome",826472,819,NA,2316341588,42,14,3972,3696314,NA,3972,13,102339471,29,3041623660,2316815090,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Artiodactyla","Bovidae","Capra","Capra hircus",0.761703402188816,FALSE
"160","GCA_028534125.1","PRJNA512907",NA,"Lama glama","9844","Lama glama","GENBANK","Baylor College of Medicine",NA,"not collected","not collected","not collected","Chromosome",5862,93318,NA,2341702490,41.5,119,1072352,1096291,NA,1072352,15,57409894,37,2351761190,2341702490,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Artiodactyla","Camelidae","Lama","Lama glama",0.995722907562736,FALSE
"161","GCA_028644305.1","PRJNA512907",NA,"Xerus rutilus","226860","Xerus rutilus","GENBANK","Baylor College of Medicine",NA,"not collected","not collected","not collected","Chromosome",12206,58140,NA,2735377309,40,112,1123228,1164041,NA,1123228,9,127260801,19,2750758914,2735377309,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Rodentia","Sciuridae","Xerus","Xerus rutilus",0.99440823224394,FALSE
"162","GCA_028975605.1","PRJNA905417",NA,"Pusa sibirica","9719","Pusa sibirica","GENBANK","Institute for Molecular and Cellular biology",NA,NA,NA,NA,"Chromosome",46423,14262,NA,2228120034,41,110,49645,326165,NA,49645,7,151453396,16,2335703376,2228364339,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Pusa","Pusa sibirica",0.954044234339455,FALSE
"163","GCA_001663975.1","PRJNA313213",NA,"Xenopus laevis","8355","Xenopus laevis","GENBANK","UC Berkeley",NA,NA,NA,NA,"Chromosome",36507,19713,NA,2408707234,39,30,324060,324060,NA,108032,9,136570856,18,2718416252,2408707234,NA,NA,FALSE,"Eukaryota","Chordata","Amphibia","Anura","Pipidae","Xenopus","Xenopus laevis",0.886070053557052,FALSE
"164","GCA_000003055.5","PRJNA32899",NA,"Bos taurus","9913","Bos taurus","GENBANK","Baylor College of Medicine, Human Genome Sequencing Center",NA,NA,NA,NA,"Chromosome",7930,96955,3193,2649383041,42,9,75597,75617,NA,6336,107,6380747,30,2670123310,2649385423,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus",0.992233359814383,FALSE
"165","GCA_051122635.1","PRJNA1273490",NA,"Bos taurus","9913","Bos taurus","GENBANK","Jilin Academy of Agricultural Sciences",NA,"China: Jilin",NA,NA,"Chromosome",13,86411128,NA,2924301821,42.5,1,79,108,NA,79,12,110773387,30,2924316046,2924301821,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus",0.999995135614695,FALSE
"166","GCA_031010635.1","PRJNA886700",NA,"Canis lupus familiaris","9615","Canis lupus familiaris","GENBANK","University of Michigan",NA,NA,NA,NA,"Chromosome",60,11505439,NA,2349053215,41,8,159,1021,NA,159,14,64457828,40,2349139519,2349053371,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus",0.999963327848643,FALSE
"167","GCA_000003115.1","PRJNA32759",NA,"Felis catus","9685","Felis catus","GENBANK",NA,NA,NA,NA,NA,"Chromosome",122526,4577,381,1990617996,42.5,2.8,604560,604920,NA,104434,47,16304361,19,3160286939,1990619120,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis catus",0.629885563691848,FALSE
